PUMA,Year,Average Wage,Growth
"San Juan Sur PUMA, PR",2015,33927.59,-0.9
"Guaynabo & Cataño PUMA, PR",2015,38232.34,3.79
"Bayamón PUMA, PR",2015,25106.58,-1.79
"Toa Baja & Dorado PUMA, PR",2015,25047.2,-1.49
"Toa Alta, Corozal & Naranjito PUMA, PR",2015,25720.02,1.69
"Vega Baja, Vega Alta & Morovis PUMA, PR",2015,24152.06,-2.69
"Arecibo, Manatí & Barceloneta PUMA, PR",2015,22493.83,-4.0
"Isabela, Hatillo & Camuy PUMA, PR",2015,21084.74,-0.1
"Cayey, Cidra & Barranquitas PUMA, PR",2015,23318.27,-1.19
"Caguas PUMA, PR",2015,28930.3,1.71
"Trujillo Alto & Gurabo PUMA, PR",2015,25640.97,-2.31
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2015,25926.49,3.28
"Aguadilla, Aguada & Moca PUMA, PR",2014,20011.54,N/A
"Mayagüez, Añasco & Hormigueros PUMA, PR",2014,21047.0,N/A
"Cabo Rojo, San Germán & Lajas PUMA, PR",2014,22558.25,N/A
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2014,19496.89,N/A
"Ponce PUMA, PR",2014,23156.23,N/A
"Juana Díaz, Coamo & Villalba PUMA, PR",2014,21188.25,N/A
"Guayama, Salinas & Patillas PUMA, PR",2014,21461.29,N/A
"Humacao, Fajardo & Islas Municipios PUMA, PR",2014,25440.54,N/A
"Río Grande, Canóvanas & Loíza PUMA, PR",2014,22121.55,N/A
"Carolina PUMA, PR",2014,27342.67,N/A
"San Juan Norte PUMA, PR",2014,29195.39,N/A
"San Juan Sur PUMA, PR",2014,34234.67,N/A
"Guaynabo & Cataño PUMA, PR",2014,36834.69,N/A
"Bayamón PUMA, PR",2014,25564.04,N/A
"Toa Baja & Dorado PUMA, PR",2014,25426.85,N/A
"Toa Alta, Corozal & Naranjito PUMA, PR",2014,25292.07,N/A
"Vega Baja, Vega Alta & Morovis PUMA, PR",2014,24818.65,N/A
"Arecibo, Manatí & Barceloneta PUMA, PR",2014,23431.16,N/A
"Isabela, Hatillo & Camuy PUMA, PR",2014,21106.07,N/A
"Cayey, Cidra & Barranquitas PUMA, PR",2014,23599.8,N/A
"Caguas PUMA, PR",2014,28444.46,N/A
"Trujillo Alto & Gurabo PUMA, PR",2014,26246.63,N/A
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2014,25103.47,N/A
