ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Slug PUMA,Temp,Growth
"79500US7202200","Trujillo Alto & Gurabo PUMA, PR",2020,"2020","true","true",27892.00233406892,"trujillo-alto-gurabo-puma-pr",27563.20293617021,1.1928925628132832
"79500US7202300","San Lorenzo, Juncos & Las Piedras PUMA, PR",2020,"2020","true","true",28704.366572051502,"san-lorenzo-juncos-las-piedras-puma-pr",28088.939112877782,2.190995739285745
"79500US7200100","Aguadilla, Aguada & Moca PUMA, PR",2019,"2019","true","true",21184.545689343457,"aguadilla-aguada-moca-puma-pr",20265.016087361833,4.537522191038787
"79500US7200200","Mayagüez, Añasco & Hormigueros PUMA, PR",2019,"2019","true","true",22336.485244199514,"mayaguez-anasco-hormigueros-puma-pr",22137.747832369943,0.8977309405384734
"79500US7200300","Cabo Rojo, San Germán & Lajas PUMA, PR",2019,"2019","true","true",21983.090423650894,"cabo-rojo-san-german-lajas-puma-pr",22319.84121405751,-1.508750833740351
"79500US7200400","Yauco, Sabana Grande & Peñuelas PUMA, PR",2019,"2019","true","true",20236.19063760405,"yauco-sabana-grande-penuelas-puma-pr",20223.91358127525,0.06070564077254808
"79500US7200500","Ponce PUMA, PR",2019,"2019","true","true",23661.646686629345,"ponce-puma-pr",23801.664483260553,-0.5882689285435503
"79500US7200600","Juana Díaz, Coamo & Villalba PUMA, PR",2019,"2019","true","true",23179.76792442376,"juana-diaz-coamo-villalba-puma-pr",23671.620501544712,-2.0778154038455336
"79500US7200700","Guayama, Salinas & Patillas PUMA, PR",2019,"2019","true","true",21533.030205487143,"guayama-salinas-patillas-puma-pr",20977.191880505554,2.6497270375742636
"79500US7200800","Humacao, Fajardo & Islas Municipios PUMA, PR",2019,"2019","true","true",22893.280359444365,"humacao-fajardo-islas-municipios-puma-pr",22618.504086696343,1.214829555901705
"79500US7200900","Río Grande, Canóvanas & Loíza PUMA, PR",2019,"2019","true","true",23454.243695766116,"rio-grande-canovanas-loiza-puma-pr",22667.97684162195,3.4686238636897597
"79500US7201000","Carolina PUMA, PR",2019,"2019","true","true",30111.451916702415,"carolina-puma-pr",30062.609371728744,0.16246941298317108
"79500US7201101","San Juan Norte PUMA, PR",2019,"2019","true","true",35094.01911636227,"san-juan-norte-puma-pr",32578.40207092312,7.72173245318374
"79500US7201102","San Juan Sur PUMA, PR",2019,"2019","true","true",37766.620446306006,"san-juan-sur-puma-pr",36883.323652095976,2.394840558681143
"79500US7201200","Guaynabo & Cataño PUMA, PR",2019,"2019","true","true",39602.37706630454,"guaynabo-catano-puma-pr",38192.013778250606,3.692822526308114
"79500US7201300","Bayamón PUMA, PR",2019,"2019","true","true",27106.907074761664,"bayamon-puma-pr",27010.675103186397,0.35627384805319096
"79500US7201400","Toa Baja & Dorado PUMA, PR",2019,"2019","true","true",28821.816451793722,"toa-baja-dorado-puma-pr",28287.40056991092,1.8892364484393718
"79500US7201500","Toa Alta, Corozal & Naranjito PUMA, PR",2019,"2019","true","true",25316.764229023192,"toa-alta-corozal-naranjito-puma-pr",25233.637304399635,0.3294290221452272
"79500US7201600","Vega Baja, Vega Alta & Morovis PUMA, PR",2019,"2019","true","true",24696.194859734587,"vega-baja-vega-alta-morovis-puma-pr",25037.837411886067,-1.3645050350446535
"79500US7201700","Arecibo, Manatí & Barceloneta PUMA, PR",2019,"2019","true","true",21693.57155388064,"arecibo-manati-barceloneta-puma-pr",21993.431694704457,-1.3634076981993546
"79500US7201800","Isabela, Hatillo & Camuy PUMA, PR",2019,"2019","true","true",22584.271476160033,"isabela-hatillo-camuy-puma-pr",22453.753040728094,0.5812767032539997
"79500US7202000","Cayey, Cidra & Barranquitas PUMA, PR",2019,"2019","true","true",24491.552423426456,"cayey-cidra-barranquitas-puma-pr",23692.072934803637,3.374459849177589
"79500US7202100","Caguas PUMA, PR",2019,"2019","true","true",31462.306924638604,"caguas-puma-pr",30394.252221479073,3.5140022375834454
"79500US7202200","Trujillo Alto & Gurabo PUMA, PR",2019,"2019","true","true",27563.20293617021,"trujillo-alto-gurabo-puma-pr",26252.25193195998,4.993670667217138
"79500US7202300","San Lorenzo, Juncos & Las Piedras PUMA, PR",2019,"2019","true","true",28088.939112877782,"san-lorenzo-juncos-las-piedras-puma-pr",27099.22412625878,3.6521893837542776
"79500US7200100","Aguadilla, Aguada & Moca PUMA, PR",2018,"2018","true","true",20265.016087361833,"aguadilla-aguada-moca-puma-pr",19671.80339492343,3.0155480945457662
"79500US7200200","Mayagüez, Añasco & Hormigueros PUMA, PR",2018,"2018","true","true",22137.747832369943,"mayaguez-anasco-hormigueros-puma-pr",21539.555623100303,2.7771798997937704
"79500US7200300","Cabo Rojo, San Germán & Lajas PUMA, PR",2018,"2018","true","true",22319.84121405751,"cabo-rojo-san-german-lajas-puma-pr",22082.067045454547,1.0767749600321337
"79500US7200400","Yauco, Sabana Grande & Peñuelas PUMA, PR",2018,"2018","true","true",20223.91358127525,"yauco-sabana-grande-penuelas-puma-pr",20480.537404452614,-1.253013131977544
"79500US7200500","Ponce PUMA, PR",2018,"2018","true","true",23801.664483260553,"ponce-puma-pr",23477.71540576316,1.3798151647151833
"79500US7200600","Juana Díaz, Coamo & Villalba PUMA, PR",2018,"2018","true","true",23671.620501544712,"juana-diaz-coamo-villalba-puma-pr",23012.54034351356,2.864004356724244
"79500US7200700","Guayama, Salinas & Patillas PUMA, PR",2018,"2018","true","true",20977.191880505554,"guayama-salinas-patillas-puma-pr",20950.4212537092,0.1277808520991685
"79500US7200800","Humacao, Fajardo & Islas Municipios PUMA, PR",2018,"2018","true","true",22618.504086696343,"humacao-fajardo-islas-municipios-puma-pr",22674.105141388176,-0.24521829790028576
"79500US7200900","Río Grande, Canóvanas & Loíza PUMA, PR",2018,"2018","true","true",22667.97684162195,"rio-grande-canovanas-loiza-puma-pr",22118.881400353122,2.482473825552769
"79500US7201000","Carolina PUMA, PR",2018,"2018","true","true",30062.609371728744,"carolina-puma-pr",29075.391237047694,3.3953735192499925
"79500US7201101","San Juan Norte PUMA, PR",2018,"2018","true","true",32578.40207092312,"san-juan-norte-puma-pr",31633.054834675215,2.9884791120826013
"79500US7201102","San Juan Sur PUMA, PR",2018,"2018","true","true",36883.323652095976,"san-juan-sur-puma-pr",36805.51517528304,0.21140439535319028
"79500US7201200","Guaynabo & Cataño PUMA, PR",2018,"2018","true","true",38192.013778250606,"guaynabo-catano-puma-pr",39649.82275267935,-3.676709940223455
"79500US7201300","Bayamón PUMA, PR",2018,"2018","true","true",27010.675103186397,"bayamon-puma-pr",26806.922207102125,0.7600756793716901
"79500US7201400","Toa Baja & Dorado PUMA, PR",2018,"2018","true","true",28287.40056991092,"toa-baja-dorado-puma-pr",27093.49742377563,4.40660401815674
"79500US7201500","Toa Alta, Corozal & Naranjito PUMA, PR",2018,"2018","true","true",25233.637304399635,"toa-alta-corozal-naranjito-puma-pr",25234.09306783259,-0.0018061415234096974
"79500US7201600","Vega Baja, Vega Alta & Morovis PUMA, PR",2018,"2018","true","true",25037.837411886067,"vega-baja-vega-alta-morovis-puma-pr",24275.667422372724,3.139645869472236
"79500US7201700","Arecibo, Manatí & Barceloneta PUMA, PR",2018,"2018","true","true",21993.431694704457,"arecibo-manati-barceloneta-puma-pr",22308.96022671748,-1.414357858037433
"79500US7201800","Isabela, Hatillo & Camuy PUMA, PR",2018,"2018","true","true",22453.753040728094,"isabela-hatillo-camuy-puma-pr",21623.971467323052,3.837322735367839
"79500US7202000","Cayey, Cidra & Barranquitas PUMA, PR",2018,"2018","true","true",23692.072934803637,"cayey-cidra-barranquitas-puma-pr",23694.88731211916,-0.011877572062074604
"79500US7202100","Caguas PUMA, PR",2018,"2018","true","true",30394.252221479073,"caguas-puma-pr",28902.214258779164,5.16236558673596
"79500US7202200","Trujillo Alto & Gurabo PUMA, PR",2018,"2018","true","true",26252.25193195998,"trujillo-alto-gurabo-puma-pr",25959.16875172575,1.1290160445324304
"79500US7202300","San Lorenzo, Juncos & Las Piedras PUMA, PR",2018,"2018","true","true",27099.22412625878,"san-lorenzo-juncos-las-piedras-puma-pr",26818.750122645735,1.0458131058695908
"79500US7200100","Aguadilla, Aguada & Moca PUMA, PR",2017,"2017","true","true",19671.80339492343,"aguadilla-aguada-moca-puma-pr",18842.383768161224,4.401882675607701
"79500US7200200","Mayagüez, Añasco & Hormigueros PUMA, PR",2017,"2017","true","true",21539.555623100303,"mayaguez-anasco-hormigueros-puma-pr",20507.468133985476,5.032739694494155
"79500US7200300","Cabo Rojo, San Germán & Lajas PUMA, PR",2017,"2017","true","true",22082.067045454547,"cabo-rojo-san-german-lajas-puma-pr",22567.049251618122,-2.149072307841932
